timestamp,symbol,timeframe,index,f_body_size_pct,f_upper_wick_pct,f_lower_wick_pct,f_range_pct,f_close_position_in_range,f_bullish_candle,f_bearish_candle,f_ema20_distance_pct,f_ema20_slope,f_ema50_distance_pct,f_ema50_slope,f_ema100_distance_pct,f_ema100_slope,f_ema200_distance_pct,f_ema200_slope,f_ema20_vs_50,f_ema50_vs_100,f_ema100_vs_200,f_ema_alignment,f_rsi,f_rsi_distance_from_50,f_macd,f_macd_signal,f_macd_histogram,f_macd_histogram_slope,f_adx,f_atr,f_atr_pct,f_bb_position,f_bb_width,f_atr_percentile,f_structure_bias,f_last_bos_direction,f_last_bos_age,f_last_choch_direction,f_last_choch_age,f_bullish_fvg_present,f_bearish_fvg_present,f_nearest_bullish_fvg_distance_pct,f_nearest_bearish_fvg_distance_pct,f_bullish_ob_present,f_bearish_ob_present,f_nearest_bullish_ob_distance_pct,f_nearest_bearish_ob_distance_pct,f_demand_present,f_supply_present,f_buy_side_liquidity_distance_pct,f_sell_side_liquidity_distance_pct,f_liquidity_sweep_direction,f_liquidity_sweep_age,f_premium_discount_state,f_distance_from_equilibrium_pct,f_htf_1d_bias,f_htf_4h_bias,f_htf_1h_bias,f_htf_30m_bias,f_entry_15m_bias,f_mtf_alignment_score,f_higher_timeframe_bias,f_setup_bias,f_entry_bias,f_market_state_code,f_hour_utc,f_day_of_week,f_day_of_month,f_month,y_return_5,y_return_10,y_return_20,y_return_40,y_direction,y_mfe_5,y_mae_5,y_mfe_10,y_mae_10,y_mfe_20,y_mae_20,y_mfe_40,y_mae_40
2026-08-05T17:45:00+00:00,PAXGUSD,15m,80,0.021226415094331045,0.04952830188680103,0.04245283018868354,0.11320754716981563,0.5624999999999408,1,0,0.446141865354698,5.920867334694776,1.2634419538158814,6.560244647253057,,,,,0.008173000884611833,,,,69.58202543434427,19.582025434344274,16.507064971197906,17.997496520299265,-1.490431549101359,-0.03667512821412089,45.878673549513245,11.892604933757937,0.28048596541881926,0.7138863276153442,0.018515427380890827,0.6911764705882353,1,1,1,1,27,1,0,0.07900943396227272,,1,0,0.20872641509434822,,1,0,,,,,1,0.19811320754716125,-1,1,1,1,1,80,0,1,1,0,17,2,5,8,0.00158018867924524,-0.001037735849056518,-0.00030660377358494856,0.004127358490566038,NEUTRAL,0.0039858490566036875,0.00037735849056612353,0.0039858490566036875,0.0012735849056602915,0.0039858490566036875,0.001792452830188765,0.012688679245283063,0.001792452830188765
2026-08-05T18:15:00+00:00,PAXGUSD,15m,82,0.24218768369816532,0.0940534693973524,0.01645935714455378,0.35270051024007154,0.7333333333333333,1,0,0.6338759081699605,6.849508181008787,1.4521436498702258,6.898249672453858,,,,,0.008182677417002652,,,,74.5978016523138,24.597801652313805,16.68931740210428,17.454484603950853,-0.7651672018465732,0.7615119808499848,46.5849139025061,11.889542009209649,0.27956316887793387,0.8791856935869011,0.014405711400633313,0.6857142857142857,1,1,0,1,29,1,0,0.38209221942674415,,1,0,0.5114157398481036,,1,0,,,,,1,0.5008347245408844,-1,1,1,1,1,80,0,1,1,0,18,2,5,8,-0.0027275506125230913,-0.003479978367701868,-0.0002586470408425908,-0.0013872886736108624,DOWN,4.7026734698847286e-05,0.0037386254085446727,4.7026734698847286e-05,0.00482024030661431,4.7026734698847286e-05,0.00482024030661431,0.009616967245879411,0.00482024030661431
2026-08-05T18:45:00+00:00,PAXGUSD,15m,84,0.0470566091007482,0.0470566091007482,0.025881135005398674,0.11999435320689507,0.60784313725486,1,0,0.4712691214413971,7.065923930485951,1.284466136637351,6.986581108636528,,,,,0.008131970151959541,,,,70.83187732451336,20.831877324513357,16.28258829776223,17.0637224113783,-0.7811341136160692,0.6257463499310205,47.6550822899485,11.252717344675654,0.26475736070480577,0.8817591045201869,0.009081933622939646,0.5694444444444444,1,1,2,1,31,1,0,0.31880852665757337,,1,0,0.4482142016846309,,1,0,,,,,1,0.20116700390570286,-1,1,1,1,1,80,0,1,1,0,18,2,5,8,-0.002705755023293022,-0.0027998682414944326,0.0040468683826643025,0.0009176038774647183,DOWN,0.000235283045503741,0.0036468872053079856,0.000235283045503741,0.0041880382099666325,0.0048468307373771505,0.0041880382099666325,0.010258340783963194,0.0041880382099666325
2026-08-05T19:15:00+00:00,PAXGUSD,15m,86,0.1249616862754387,0.0,0.04550491594558958,0.17046660222102827,0.2669432918395802,0,1,0.20384193974777254,4.592740451033023,0.9896841160982007,5.945167720813515,,,,,0.007858421763504281,,,,62.26981461458978,12.269814614589777,14.572628400534086,16.341778595857612,-1.769150195323526,-0.9872355386493759,46.89591485174483,10.650659343113162,0.2511178021623833,0.6026682358987834,0.008205382548950611,0.36486486486486486,1,1,4,1,33,1,1,0.10963619644921475,-0.1308561054393743,1,0,0.23931341805579764,,1,0,,,,,0,-0.008252186829496954,-1,1,1,1,1,80,0,1,1,0,19,2,5,8,-0.0014382382760003687,-0.0005894419163935586,0.00532855492419764,0.0009902624195411356,NEUTRAL,0.00023577676655742343,0.001579704335934694,0.00023577676655742343,0.002098413222361197,0.007945677032985127,0.002098413222361197,0.01237828024426473,0.002098413222361197
2026-08-05T19:45:00+00:00,PAXGUSD,15m,88,0.1605704975324136,0.0,0.0047226616921253895,0.16529315922453897,0.028571428571402584,0,1,0.030383682892134348,1.8688873079881887,0.7697657964793859,4.689945289377647,,,,,0.007393821135872516,,,,56.41787776684987,6.41787776684987,12.084487247432662,15.043694357651017,-2.9592071102183546,-1.8405820434591078,44.31994278190299,10.035007290745543,0.23695972256123032,0.3961919079043971,0.008000321945686688,0.15789473684210525,1,1,6,1,35,1,1,0.21370044156885107,-0.20425511818462175,1,0,0.08854990672743158,,1,0,,,,,-1,-0.15938983210937685,-1,1,1,1,1,80,0,1,1,0,19,2,5,8,0.001511251741481628,0.0006847859453589331,0.011759427613402958,0.005832487189780332,NEUTRAL,0.0015136130723277443,0.0005903327115162106,0.0017237715176273778,0.0005903327115162106,0.012916479727974859,0.0005903327115162106,0.01390823868332205,0.0005903327115162106
2026-08-05T20:15:00+00:00,PAXGUSD,15m,90,0.07318915856075772,0.0,0.023609405987345355,0.09679856454810308,0.2439024390244227,0,1,0.03208980877959537,0.7629667078999773,0.7229565639573866,4.007827235601326,,,,,0.006908667551777913,,,,56.09479984799619,6.0947998479961925,9.957414942479772,13.395675451438837,-3.4382605089590648,-1.2051306663510335,41.71129921024902,9.217429755795889,0.21761804126442272,0.4348592216378495,0.007842744869310254,0.07692307692307693,1,1,8,1,37,1,1,0.2301917083766172,-0.1876947775993913,1,0,0.10506185664370402,,1,0,,,,,-1,-0.1428369062234222,-1,1,1,1,1,80,0,1,1,0,20,2,5,8,0.0008735480215317352,0.0007318915856075772,0.007413353480026356,0.00356502030408902,NEUTRAL,0.0013480970818774284,0.0007555009915952232,0.0015582207951646647,0.0007555009915952232,0.013504580224761501,0.0007555009915952232,0.013740674284634954,0.0007555009915952232
2026-08-05T20:45:00+00:00,PAXGUSD,15m,92,0.06134824567613703,0.0,0.07314598522923865,0.1344942309053757,1.0,1,0,0.0804370275764248,0.5932675318645124,0.72400325709573,3.6874252951474773,,,,,0.006435662295193052,,,,57.880997389486815,7.880997389486815,8.229324598612038,11.645613489876753,-3.416288891264715,-0.26247377537505123,38.90680497845677,8.593600146579183,0.2027701127056743,0.49299288242254,0.006902751669063769,0.0375,1,1,10,1,39,1,1,0.28904461905098977,-0.1285953611288034,1,0,0.16398857978812975,,1,0,,,,,-1,-0.08376395082700437,-1,1,1,1,1,80,0,1,1,0,20,2,5,8,-0.00011797739553101625,0.003232580637549802,0.009320214246950283,0.0024067388688326884,UP,0.0009674146433542044,0.0005662914985490068,0.0034213444703994713,0.0005662914985490068,0.012906727071093135,0.0005662914985490068,0.013142681862155167,0.0005662914985490068
2026-08-05T21:15:00+00:00,PAXGUSD,15m,94,0.06842366042988075,0.0023594365665564917,0.0023594365665564917,0.07314253356299374,0.0322580645162426,0,1,0.06360578733534417,1.2720398616847888,0.6699896430221163,3.7402184289303477,,,,,0.0060638385568677206,,,,57.03589465412971,7.035894654129713,7.229410469251889,10.155560216587201,-2.9261497473353124,0.6578092076483113,36.767931330703675,7.8441246161831,0.18507714451980983,0.4423629774918454,0.0056268921943781365,0.012195121951219513,1,1,12,1,41,1,1,0.0035391548498347374,-0.1238704197437652,1,0,0.16869971450818833,,1,0,,,,,-1,-0.1498242219757793,-1,1,1,1,1,80,0,1,1,0,21,2,5,8,-7.078309699648016e-05,0.006865960408654284,0.010239954698817836,0.0038930703348040484,UP,0.0009201802609535984,0.000613453507302542,0.007668168841280702,0.000613453507302542,0.01309487294434089,0.000613453507302542,0.01309487294434089,0.000613453507302542
2026-08-05T21:45:00+00:00,PAXGUSD,15m,96,0.014154949514000526,0.0,0.0070774747570109915,0.02123242427101152,0.33333333333367016,0,1,0.060700728554759005,0.906590453669196,0.6288431709918166,3.3997940976014434,,,,,0.005681424424370577,,,,57.259410441311324,7.259410441311324,6.236677268259882,8.825006301001766,-2.5883290327418838,0.44573431308100986,34.75835809448275,6.947229898647659,0.16389614746267006,0.42643252212156996,0.005080870310474504,0.011904761904761904,1,1,14,1,43,1,1,0.3055109936774516,-0.11206001698593941,1,0,0.1804756063036837,,1,0,,,,,1,0.04588562800794136,-1,1,1,1,1,80,0,1,1,0,21,2,5,8,0.0016278191941114552,0.0059214872133621435,0.006841558931773143,0.003986977446447022,UP,0.0020288760970084583,0.0007313390582241114,0.008540152873454708,0.0007313390582241114,0.012975370387845617,0.0007313390582241114,0.012975370387845617,0.0007313390582241114
2026-08-05T22:15:00+00:00,PAXGUSD,15m,98,0.002359714946443055,0.007079144839307704,0.011798574732172353,0.021237434517923114,0.6666666666666666,1,0,0.03079115923401828,0.5389549972214809,0.5590213317789746,3.053174020892584,,,,,0.005282301725449563,,,,56.037054143231074,6.0370541432310745,5.18966838644792,7.59424892598587,-2.4045805395379496,0.3293060900619107,33.02561382447594,6.4856216983237855,0.15304218458454352,0.34040084822129757,0.004557934644699358,0.011627906976744186,1,1,16,1,45,1,1,0.281985936098915,-0.011798574732172353,1,0,0.15692104393790518,,1,0,,,,,1,0.022299306243820344,-1,1,1,1,1,80,0,1,1,0,22,2,5,8,0.007527490679125876,0.011067063098777582,0.004247486903582047,0.005450941526263498,UP,0.007787059323233753,0.0,0.0122233234225306,0.0,0.013214403700033035,0.0,0.013214403700033035,0.0
